GeneName	Description	Process
FASTKD5	similarity:Belongs to the FAST kinase familysimilarity:Contains 1 RAP domain	Mitochondrial Gene Expression
FASTKD3	similarity:Belongs to the FAST kinase familysimilarity:Contains 1 RAP domain	Mitochondrial Gene Expression
AKT1	This gene encodes the founding member of the Akt serine-threonine protein kinase gene family that also includes Akt2 and Akt3. This kinase is a major downstream effector of the phosphatidylinositol 3-kinase (PI3K) pathway that mediates the effects of various growth factors such as platelet-derived growth factor (PDGF), epidermal growth factor (EGF), insulin and insulin-like growth factor I (IGF-I). It is activated through recruitment to cellular membranes by PI3K lipid products and by phosphorylation by 3-phosphoinositide dependent kinase-1. It then further phosphorylates different downstream proteins in response to various extracellular signals and thus plays a pivotal role in mediating a variety of cellular processes, such as glucose metabolism, glycogen biosynthesis, protein synthesis and turn over, inflammatory response, cell survival (anti-apoptosis) and development. 	Mitochondrial Signaling
GSK3B	similarity: Participates in the Wnt signaling pathway. Implicated in the hormonal control of several regulatory proteins including glycogen synthase, MYB and the transcription factor JUN. Phosphorylates JUN at sites proximal to its DNA-binding domain, thereby reducing its affinity for DNA. Phosphorylates MUC1 in breast cancer cells, and decreases the interaction of MUC1 with CTNNB1/beta-catenin	Mitochondrial Signaling
MTOR	similarity: Acts as the target for the cell-cycle arrest and immunosuppressive effects of the FKBP12-rapamycin complex. Part of the TORC2 complex which plays a critical role in AKT1 Ser-473 phosphorylation, and may modulate the phosphorylation of PKCA and regulate actin cytoskeleton organization	Mitochondrial Signaling
PRKACA	Phosphorylates a large number of substrates in the cytoplasm and the nucleus	Mitochondrial Signaling
PRKCE	catalytic activity:ATP + a protein = ADP + a phosphoproteindomain:The C1 domain, containing the phorbol ester/DAG-type region 1 (C1A) and 2 (C1B), is the diacylglycerol sensor and the C2 domain is a non-calcium binding domainenzyme regulation:Three specific sites; Thr-566 (activation loop of the kinase domain), Thr-710 (turn motif) and Ser-729 (hydrophobic region), need to be phosphorylated for its full activationfunction:PKC is activated by diacylglycerol which in turn phosphorylates a range of cellular proteins. PKC also serves as the receptor for phorbol esters, a class of tumor promotersfunction:This is calcium-independent, phospholipid-dependent, serine- and threonine-specific enzymePTM:Phosphorylation on Thr-566 triggers autophosphorylation on Ser-729similarity:Belongs to the protein kinase superfamilysimilarity:Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. PKC subfamilysimilarity:Contains 1 AGC-kinase C-terminal domainsimilarity:Contains 1 C2 domainsimilarity:Contains 1 protein kinase domainsimilarity:Contains 2 phorbol-ester/DAG-type zinc fingerssubunit:Forms a ternary complex with TRIM63 and GN2BL1	Mitochondrial Signaling
SHC1	Signaling adapter that couples activated growth factor receptors to signaling pathway. Isoform p47 and isoform p52, once phosphorylated, couple activated receptor kinases to Ras via the recruitment of the GRB2/SOS complex and are implicated in the cytoplasmic propagation of mitogenic signals. Isoform p47 and isoform p52 may thus function as initiators of the Ras signaling cascade in various non-neuronal systems. Isoform p66 does not mediate Ras activation, but is involved in signal transduction pathways that regulate the cellular response to oxidative stress and life span. Isoform p66 acts as a downstream target of the tumor suppressor p53 and is indispensable for the ability of stress-activated p53 to induce elevation of intracellular oxidants, cytochrome c release and apoptosis. The expression of isoform p66 has been correlated with life span	Mitochondrial Signaling
SIRT1	similarity: NAD-dependent deacetylase, which regulates processes such as apoptosis and muscle differentiation by deacetylating key proteins. Deacetylates 'Lys-382' of p53/TP53 and impairs its ability to induce proapoptotic program and modulate cell senescence. Deacetylates TAF1B and thereby represses rDNA transcription by the RNA polymerase I. Involved in HES1- and HEY2- mediated transcriptional repression. Inhibits skeletal muscle differentiation by deacetylating PCAF and MYOD1. May serve as a sensor of the cytosolic ratio of NAD(+)/NADH, which is essential in skeletal muscle cell differentiation. Despite some ability to deacetylate histones in vitro, such activity is either weak or inexistent in vivo. In case of HIV-1 infection, interacts with and deacetylates the viral Tat protein	Mitochondrial Signaling
SIRT2	NAD-dependent deacetylase, which deacetylates the 'Lys- 40' of alpha-tubulin. Involved in the control of mitotic exit in the cell cycle, probably via its role in the regulation of cytoskeleton. Despite some ability to deacetylate histones in vitro, it is unlikely in vivo (By similarity)	Mitochondrial Signaling
IDE	catalytic activity:Degradation of insulin, glucagon and other polypeptides. No action on proteinscofactor:Binds 1 zinc ion per subunitfunction:May play a role in the cellular processing of insulin. May be involved in intercellular peptide signalingsimilarity:Belongs to the peptidase M16 familysubunit:Homodimer	Mitochondrial Signaling
AKAP1	domain:RII-alpha binding site, predicted to form an amphipathic helix, could participate in protein-protein interactions with a complementary surface on the R-subunit dimerfunction:Differentially targeted protein that binds to type I and II regulatory subunits of protein kinase A. Anchors them to the cytoplasmic face of the mitochondrial outer membrane or allows them to reside in the endoplasmic reticulum. Does not contain the classic KDEL endoplasmic reticulum-targeting sequence. This explains how it is able to switch its localization, either being in the endoplasmic reticulum or in the mitochondria depending on which N-terminal part begins the isoform. The longest N-terminal part only present in isoform 2 and isoform 4 acts as a suppressor of mitochondrial targeting and as an activator of recessive endoplasmic reticulum targeting motifsimilarity:Contains 1 KH domainsimilarity:Contains 1 Tudor domaintissue specificity:Highest expression in testis, heart, liver, skeletal muscle, intestine and kidney, followed by brain and lung. No expression in spleen. Isoform 1/D-AKAP1A is expressed predominantly in testis whereas isoform 4/D-AKAP1D is expressed primarily in liver	Mitochondrial Signaling
CHCHD2	similarity:Contains 1 CHCH domain	Mitochondrial Signaling
SIRT5	Probable NAD-dependent deacetylase (By similarity)	Mitochondrial Signaling
SIRT3	NAD-dependent deacetylase. Despite some ability to deacetylate histones in vitro, it is unlikely in vivo (By similarity)	Mitochondrial Signaling
MAVS	Required for innate immune defense against viruses. Acts downstream of DDX58 and IFIH1/MDA5, which detect intracellular dsRNA produced during viral replication, to coordinate pathways leading to the activation of NF-kappa-B, IRF3 and IRF7, and to the subsequent induction of antiviral cytokines such as IFN-beta and RANTES (CCL5). May activate the same pathways following detection of extracellular dsRNA by TLR3. May protect cells from apoptosis (By similarity)	Mitochondrial Signaling
SYNJ2BP	Isoform 1 regulates endocytosis of activin type 2 receptor kinases through the Ral/RALBP1-dependent pathway and may be involved in suppression of activin-induced signal transduction. Isoform 2 and isoform 3 show a stimulatory affect on activin- induced signal transduction and enhance activin type 2 expression at the cell surface	Mitochondrial Signaling
NLRX1	Participates in antiviral signaling (By similarity)	Mitochondrial Signaling
SIRT4	Probable NAD-dependent deacetylase (By similarity)	Mitochondrial Signaling
AKAP10	domain:RII-alpha binding site, predicted to form an amphipathic helix, could participate in protein-protein interactions with a complementary surface on the R-subunit dimerfunction:Differentially targeted protein that binds to type I and II regulatory subunits of protein kinase A and anchors them to the mitochondria or the plasma membrane. Although the physiological relevance between PKA and AKAPS with mitochondria is not fully understood, one idea is that BAD, a proapoptotic member, is phosphorylated and inactivated by mitochondria-anchored PKA. It cannot be excluded too that it may facilitate PKA as well as G protein signal transduction, by acting as an adapter for assembling multiprotein complexes. With its RGS domain, it could lead to the interaction to G-alpha proteins, providing a link between the signaling machinery and the downstream kinasesimilarity:Contains 2 RGS domainssubcellular location:Predominantly mitochondrial but also membrane associated and cytoplasmictissue specificity:Highly expressed in testis, kidney and lung, followed by brain, skeletal muscle, liver, spleen and heart. Also expressed in brown adipose tissue and pancreas	Mitochondrial Signaling
AMBRA1	developmental stage:At E8.5, it is detected throughout the neuroepithelium. At E11.5, it is highly expressed in the ventral-most part of the spinal cord, the encephalic vesicles, the neural retina, the limbs and the dorsal root ganglia. Later, it is expressed in the entire developing nervous system as well as in other tissues. In brain, strong expression is observed in the cortex, hippocampus and striatum of postnatal braindisruption phenotype:Mice display severe neural tube defects associated with autophagy impairment, accumulation of ubiquitinated proteins, unbalanced cell proliferation and excessive apoptotic cell deathfunction:Regulates autophagy and development of the nervous system. Involved in autophagy in controlling protein turnover during neuronal development, and in regulating normal cell survival and proliferationsimilarity:Contains 3 WD repeatssubunit:Interacts with BECN1. Probably forms a complex with BECN1 and PIK3C3	Mitophagy
ATG5	The protein encoded by this gene, in combination with autophagy protein 12, functions as an E1-like activating enzyme in a ubiquitin-like conjugating system. The encoded protein is involved in several cellular processes, including autophagic vesicle formation, mitochondrial quality control after oxidative damage, negative regulation of the innate antiviral immune response, lymphocyte development and proliferation, MHC II antigen presentation, adipocyte differentiation, and apoptosis. Several transcript variants encoding different protein isoforms have been found for this gene. 	Mitophagy
ATG9B	This gene functions in the regulation of autophagy, a lysosomal degradation pathway. This gene also functions as an antisense transcript in the posttranscriptional regulation of the endothelial nitric oxide synthase 3 gene, which has 3' overlap with this gene on the opposite strand. Mutations in this gene and disruption of the autophagy process have been associated with multiple cancers. Alternative splicing results in multiple transcript variants.	Mitophagy
BECN1	This gene encodes a protein that regulates autophagy, a catabolic process of degradation induced by starvation. The encoded protein is a component of the phosphatidylinositol-3-kinase (PI3K) complex which mediates vesicle-trafficking processes. This protein is thought to play a role in multiple cellular processes, including tumorigenesis, neurodegeneration and apoptosis. Alternative splicing results in multiple transcript variants.	Mitophagy
BECN2	involved in autophagy, mitophagy; endosome to lysosome transport; cellular response to nitrogen starvation; autophagosome assembly;	Mitophagy
CALCOCO2	This gene encodes a coiled-coil domain-containing protein. The encoded protein functions as a receptor for ubiquitin-coated bacteria and plays an important role in innate immunity by mediating macroautophagy. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. 	Mitophagy
CITED2	The protein encoded by this gene inhibits transactivation of HIF1A-induced genes by competing with binding of hypoxia-inducible factor 1-alpha to p300-CH1. Mutations in this gene are a cause of cardiac septal defects. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene.	Mitophagy
GABARAP	Ubiquitin-like modifier that plays a role in intracellular transport of GABA(A) receptors and its interaction with the cytoskeleton. Involved in apoptosis. Involved in autophagy. Whereas LC3s are involved in elongation of the phagophore membrane, the GABARAP/GATE-16 subfamily is essential for a later stage in autophagosome maturation. 	Mitophagy
OPTN	This gene encodes the coiled-coil containing protein optineurin. Optineurin may play a role in normal-tension glaucoma and adult-onset primary open angle glaucoma. Optineurin interacts with adenovirus E3-14.7K protein and may utilize tumor necrosis factor-alpha or Fas-ligand pathways to mediate apoptosis, inflammation or vasoconstriction. Optineurin may also function in cellular morphogenesis and membrane trafficking, vesicle trafficking, and transcription activation through its interactions with the RAB8, huntingtin, and transcription factor IIIA proteins. Alternative splicing results in multiple transcript variants encoding the same protein. Has been implicated in Mitophagy.	Mitophagy
PRKN	The precise function of this gene is unknown; however, the encoded protein is a component of a multiprotein E3 ubiquitin ligase complex that mediates the targeting of substrate proteins for proteasomal degradation. Mutations in this gene are known to cause Parkinson disease and autosomal recessive juvenile Parkinson disease. Alternative splicing of this gene produces multiple transcript variants encoding distinct isoforms. Additional splice variants of this gene have been described but currently lack transcript support.	Mitophagy
RAB7B	Controls vesicular trafficking from endosomes to the trans-Golgi network (TGN). Acts as a negative regulator of TLR9 signaling and can suppress TLR9-triggered TNFA, IL6, and IFNB production in macrophages by promoting TLR9 lysosomal degradation. Also negatively regulates TLR4 signaling in macrophages by promoting lysosomal degradation of TLR4. Promotes megakaryocytic differentiation by increasing NF-kappa-B-dependent IL6 production and subsequently enhancing the association of STAT3 with GATA1. Not involved in the regulation of the EGF- and EGFR degradation pathway. 	Mitophagy
RRAS2	This gene encodes a member of the R-Ras subfamily of Ras-like small GTPases. The encoded protein associates with the plasma membrane and may function as a signal transducer. This protein may play an important role in activating signal transduction pathways that control cell proliferation. Mutations in this gene are associated with the growth of certain tumors. Pseudogenes of this gene are found on chromosomes 1 and 2. Alternate splicing results in multiple transcript variants.	Mitophagy
TAX1BP1	This gene encodes a HTLV-1 tax1 binding protein. The encoded protein interacts with TNFAIP3, and inhibits TNF-induced apoptosis by mediating the TNFAIP3 anti-apoptotic activity. Degradation of this protein by caspase-3-like family proteins is associated with apoptosis induced by TNF. This protein may also have a role in the inhibition of inflammatory signaling pathways. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.	Mitophagy
TBC1D15	This gene encodes a member of the Ras-like proteins in brain-GTPase activating protein superfamily that share a conserved Tre-2/Bub2/Cdc16 domain. The encoded protein interacts with Ras-like protein in brain 5A and may function as a regulator of intracellular trafficking. Alternate splicing results in multiple transcript variants.	Mitophagy
TBK1	The NF-kappa-B (NFKB) complex of proteins is inhibited by I-kappa-B (IKB) proteins, which inactivate NFKB by trapping it in the cytoplasm. Phosphorylation of serine residues on the IKB proteins by IKB kinases marks them for destruction via the ubiquitination pathway, thereby allowing activation and nuclear translocation of the NFKB complex. The protein encoded by this gene is similar to IKB kinases and can mediate NFKB activation in response to certain growth factors.	Mitophagy
ULK1	Serine/threonine-protein kinase involved in autophagy in response to starvation. Acts upstream of phosphatidylinositol 3-kinase PIK3C3 to regulate the formation of autophagophores, the precursors of autophagosomes. Part of regulatory feedback loops in autophagy: acts both as a downstream effector and negative regulator of mammalian target of rapamycin complex 1 (mTORC1) via interaction with RPTOR. Activated via phosphorylation by AMPK and also acts as a regulator of AMPK by mediating phosphorylation of AMPK subunits PRKAA1, PRKAB2 and PRKAG1, leading to negatively regulate AMPK activity. May phosphorylate ATG13/KIAA0652 and RPTOR; however such data need additional evidences. Plays a role early in neuronal differentiation and is required for granule cell axon formation. May also phosphorylate SESN2 and SQSTM1 to regulate autophagy (PubMed:25040165). 	Mitophagy
USP15	This gene encodes a member of the ubiquitin specific protease (USP) family of deubiquitinating enzymes. USP enzymes play critical roles in ubiquitin-dependent processes through polyubiquitin chain disassembly and hydrolysis of ubiquitin-substrate bonds. The encoded protein associates with the COP9 signalosome, and also plays a role in transforming growth factor beta signalling through deubiquitination of receptor-activated SMAD transcription factors. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene.	Mitophagy
USP8	This gene encodes a protein that belongs to the ubiquitin-specific processing protease family of proteins. The encoded protein is thought to regulate the morphology of the endosome by ubiquitination of proteins on this organelle and is involved in cargo sorting and membrane trafficking at the early endosome stage. This protein is required for the cell to enter the S phase of the cell cycle and also functions as a positive regulator in the Hedgehog signaling pathway in development. Pseudogenes of this gene are present on chromosomes 2 and 6. Alternate splicing results in multiple transcript variants.	Mitophagy
PGAM5	Displays phosphatase activity for serine/threonine residues, and, dephosphorylates and activates MAP3K5 kinase. Has apparently no phosphoglycerate mutase activity. May be regulator of mitochondrial dynamics. Substrate for a KEAP1-dependent ubiquitin ligase complex. Contributes to the repression of NFE2L2-dependent gene expression. Acts as a central mediator for programmed necrosis induced by TNF, by reactive oxygen species and by calcium ionophore. 	Mitophagy
PINK1	This gene encodes a serine/threonine protein kinase that localizes to mitochondria. It is thought to protect cells from stress-induced mitochondrial dysfunction. Mutations in this gene cause one form of autosomal recessive early-onset Parkinson disease. [provided by RefSeq, Jul 2008],	Mitophagy
NBR1	The protein encoded by this gene was originally identified as an ovarian tumor antigen monitored in ovarian cancer. The encoded protein contains a B-box/coiled-coil motif, which is present in many genes with transformation potential. It functions as a specific autophagy receptor for the selective autophagic degradation of peroxisomes by forming intracellular inclusions with ubiquitylated autophagic substrates. This gene is located on a region of chromosome 17q21.1 that is in close proximity to the BRCA1 tumor suppressor gene. Alternative splicing of this gene results in multiple transcript variants.	Mitophagy
ARG1	catalytic activity:L-arginine + H(2)O = L-ornithine + ureacofactor:Binds 2 manganese ions per subunitpathway:Nitrogen metabolism; urea cycle; L-ornithine and urea from L-arginine: step 1/1similarity:Belongs to the arginase familysubunit:Homotrimer	Nitrogen Metabolism
ASL	catalytic activity:2-(N(omega)-L-arginino)succinate = fumarate + L-argininepathway:Amino-acid biosynthesis; L-arginine biosynthesis; L-arginine from L-ornithine and carbamoyl phosphate: step 3/3pathway:Nitrogen metabolism; urea cycle; L-arginine and fumarate from N(omega)-(L-arginino)succinic acid: step 1/1similarity:Belongs to the lyase 1 family. Argininosuccinate lyase subfamilysubunit:Homotetramer	Nitrogen Metabolism
NAGS	Plays a role in the regulation of ureagenesis by producing variable amounts of N-acetylglutamate (NAG), thus modulating carbamoylphosphate synthase I (CPSI) activity	Nitrogen Metabolism
CPS1	Involved in the urea cycle of ureotelic animals where the enzyme plays an important role in removing excess ammonia from the cell	Nitrogen Metabolism
CAR5B	Reversible hydration of carbon dioxide	Nitrogen Metabolism
DDAH1	catalytic activity:N(omega),N(omega)-dimethyl-L-arginine + H(2)O = dimethylamine + L-citrullinecofactor:Binds 1 zinc ionfunction:Hydrolyzes N(G),N(G)-dimethyl-L-arginine (ADMA) and N(G)-monomethyl-L-arginine (MMA) which act as inhibitors of NOS. Has therefore a role in nitric oxide generationsimilarity:Belongs to the DDAH familysubunit:Monomer	Nitrogen Metabolism
ARG2	May play a role in the regulation of extra-urea cycle arginine metabolism and also in down-regulation of nitric oxide synthesis (By similarity)	Nitrogen Metabolism
OTC	catalytic activity:Carbamoyl phosphate + L-ornithine = phosphate + L-citrullinedisease:Defects in Otc are the cause of the Sparse fur (spf) phenotype. Spf mouse have an OTCase with an overall decrease in activity, and altered substrate affinitypathway:Nitrogen metabolism; urea cycle; L-citrulline from L-ornithine and carbamoyl phosphate: step 1/1similarity:Belongs to the ATCase/OTCase familysubunit:Homotrimer	Nitrogen Metabolism
CAR5A	Reversible hydration of carbon dioxide	Nitrogen Metabolism
1110058L19RIK	RIKEN cDNA 1110058L19 gene	Unknown MT process
D10JHU81E	DNA segment, Chr 10, Johns Hopkins University 81 expressed	Unknown MT process
PET112	PET112 homolog (S. cerevisiae)	Unknown MT process
C1QBP	complement component 1, q subcomponent binding protein	Unknown MT process
LACE1	lactation elevated 1	Unknown MT process
ACN9	ACN9 homolog (S. cerevisiae)	Unknown MT process
HSDL2	hydroxysteroid dehydrogenase like 2	Unknown MT process
ADCK3	aarF domain containing kinase 3	Unknown MT process
2310061I04RIK	RIKEN cDNA 2310061I04 gene	Unknown MT process
VWA8	von Willebrand factor A domain containing 8	Unknown MT process
ADCK5	aarF domain containing kinase 5	Unknown MT process
PYURF	Pigy upstream reading frame	Unknown MT process
TMEM14C	transmembrane protein 14C	Unknown MT process
SPRYD4	SPRY domain containing 4	Unknown MT process
FAM210A	family with sequence similarity 210, member A	Unknown MT process
ZADH2	zinc binding alcohol dehydrogenase, domain containing 2	Unknown MT process
2410015M20RIK	RIKEN cDNA 2410015M20 gene	Unknown MT process
GBAS	glioblastoma amplified sequence	Unknown MT process
SPR	sepiapterin reductase	Unknown MT process
APOA1BP	apolipoprotein A-I binding protein	Unknown MT process
1110001J03RIK	RIKEN cDNA 1110001J03 gene	Unknown MT process
FTSJ2	FtsJ homolog 2 (E. coli)	Unknown MT process
SLMO2	slowmo homolog 2 (Drosophila)	Unknown MT process
0610009O20RIK	RIKEN cDNA 0610009O20 gene	Unknown MT process
OXLD1	oxidoreductase like domain containing 1	Unknown MT process
GM4984	predicted pseudogene 4984	Unknown MT process
9430016H08RIK	RIKEN cDNA 9430016H08 gene	Unknown MT process
2010107E04RIK	RIKEN cDNA 2010107E04 gene	Unknown MT process
HAO2	hydroxyacid oxidase 2	Unknown MT process
RDH14	retinol dehydrogenase 14 (all-trans and 9-cis)	Unknown MT process
CROT	carnitine O-octanoyltransferase	Unknown MT process
1810043H04RIK	RIKEN cDNA 1810043H04 gene	Unknown MT process
XRCC6BP1	XRCC6 binding protein 1	Unknown MT process
DCAKD	dephospho-CoA kinase domain containing	Unknown MT process
SDR39U1	short chain dehydrogenase/reductase family 39U, member 1	Unknown MT process
ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	Unknown MT process
SQRDL	sulfide quinone reductase-like (yeast)	Unknown MT process
9030617O03RIK	RIKEN cDNA 9030617O03 gene	Unknown MT process
GRHPR	glyoxylate reductase/hydroxypyruvate reductase	Unknown MT process
STOM	stomatin	Unknown MT process
GLOD4	glyoxalase domain containing 4	Unknown MT process
FHIT	fragile histidine triad gene	Unknown MT process
RFK	riboflavin kinase	Unknown MT process
DHRS1	dehydrogenase/reductase (SDR family) member 1	Unknown MT process
SLMO1	slowmo homolog 1 (Drosophila)	Unknown MT process
TSTD3	thiosulfate sulfurtransferase (rhodanese)-like domain containing 3	Unknown MT process
ADCK4	aarF domain containing kinase 4	Unknown MT process
AKR7A5	aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase)	Unknown MT process
PNPO	pyridoxine 5'-phosphate oxidase	Unknown MT process
PPM1M	protein phosphatase 1M	Unknown MT process
METTL5	methyltransferase like 5	Unknown MT process
4933405O20RIK	RIKEN cDNA 4933405O20 gene	Unknown MT process
2410018M08RIK	RIKEN cDNA 2410018M08 gene	Unknown MT process
BLOC1S1	biogenesis of lysosomal organelles complex-1, subunit 1	Unknown MT process
ACLY	ATP citrate lyase	Unknown MT process
FAM136A	family with sequence similarity 136, member A	Unknown MT process
GYKL1	glycerol kinase-like 1	Unknown MT process
PXMP4	peroxisomal membrane protein 4	Unknown MT process
NUDT8	nudix (nucleoside diphosphate linked moiety X)-type motif 8	Unknown MT process
HINT3	histidine triad nucleotide binding protein 3	Unknown MT process
PHYH	phytanoyl-CoA hydroxylase	Unknown MT process
GUK1	guanylate kinase 1	Unknown MT process
1700071K01RIK	RIKEN cDNA 1700071K01 gene	Unknown MT process
2610507B11RIK	RIKEN cDNA 2610507B11 gene	Unknown MT process
DHRS7B	dehydrogenase/reductase (SDR family) member 7B	Unknown MT process
GM2382	predicted gene 2382	Unknown MT process
HTATIP2	HIV-1 tat interactive protein 2, homolog (human)	Unknown MT process
CARKD	carbohydrate kinase domain containing	Unknown MT process
PCBD2	pterin 4 alpha carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2	Unknown MT process
SCP2	sterol carrier protein 2, liver	Unknown MT process
RAB24	RAB24, member RAS oncogene family	Unknown MT process
CCDC109B	coiled-coil domain containing 109B	Unknown MT process
ALDH1A7	aldehyde dehydrogenase family 1, subfamily A7	Unknown MT process
CCBL2	cysteine conjugate-beta lyase 2	Unknown MT process
CTU1	cytosolic thiouridylase subunit 1 homolog (S. pombe)	Unknown MT process
AS3MT	arsenic (+3 oxidation state) methyltransferase	Unknown MT process
TMEM205	transmembrane protein 205	Unknown MT process
DBI	diazepam binding inhibitor	Unknown MT process
TUBB3	tubulin, beta 3 class III	Unknown MT process
EPHX2	epoxide hydrolase 2, cytoplasmic	Unknown MT process
SDSL	serine dehydratase-like	Unknown MT process
MTCP1	mature T cell proliferation 1	Unknown MT process
SMIM20	small integral membrane protein 20	Unknown MT process
BC026585	cDNA sequence BC026585	Unknown MT process
PXMP2	peroxisomal membrane protein 2	Unknown MT process
CBR2	carbonyl reductase 2	Unknown MT process
CHPT1	choline phosphotransferase 1	Unknown MT process
ARF5	ADP-ribosylation factor 5	Unknown MT process
ANKRD26	ankyrin repeat domain 26	Unknown MT process
0610012H03RIK	RIKEN cDNA 0610012H03 gene	Unknown MT process
GM561	predicted gene 561	Unknown MT process
HEBP1	heme binding protein 1	Unknown MT process
PTPMT1	protein tyrosine phosphatase, mitochondrial 1	Unknown MT process
CBR3	carbonyl reductase 3	Unknown MT process
TYSND1	trypsin domain containing 1	Unknown MT process
1110001A16RIK	RIKEN cDNA 1110001A16 gene	Unknown MT process
ERI3	exoribonuclease 3	Unknown MT process
ADCK2	aarF domain containing kinase 2	Unknown MT process
OSBPL1A	oxysterol binding protein-like 1A	Unknown MT process
EEFSEC	eukaryotic elongation factor, selenocysteine-tRNA-specific	Unknown MT process
RDH11	retinol dehydrogenase 11	Unknown MT process
FTH1	ferritin heavy chain 1	Unknown MT process
ACOX3	acyl-Coenzyme A oxidase 3, pristanoyl	Unknown MT process
PEX11B	peroxisomal biogenesis factor 11 beta	Unknown MT process
NUDT5	nudix (nucleoside diphosphate linked moiety X)-type motif 5	Unknown MT process
ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	Unknown MT process
RAB35	RAB35, member RAS oncogene family	Unknown MT process
PTPN4	protein tyrosine phosphatase, non-receptor type 4	Unknown MT process
CCDC51	coiled-coil domain containing 51	Unknown MT process
TTC7B	tetratricopeptide repeat domain 7B	Unknown MT process
FLAD1	RFad1, flavin adenine dinucleotide synthetase, homolog (yeast)	Unknown MT process
NDOR1	NADPH dependent diflavin oxidoreductase 1	Unknown MT process
TMBIM4	transmembrane BAX inhibitor motif containing 4	Unknown MT process
ATXN2	ataxin 2	Unknown MT process
THNSL1	threonine synthase-like 1 (bacterial)	Unknown MT process
HINT1	histidine triad nucleotide binding protein 1	Unknown MT process
OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	Unknown MT process
YBEY	ybeY metallopeptidase	Unknown MT process
GM4952	predicted gene 4952	Unknown MT process
FABP1	fatty acid binding protein 1, liver	Unknown MT process
METTL15	methyltransferase like 15	Unknown MT process
ACOX1	acyl-Coenzyme A oxidase 1, palmitoyl	Unknown MT process
PROSC	proline synthetase co-transcribed	Unknown MT process
NUDT6	nudix (nucleoside diphosphate linked moiety X)-type motif 6	Unknown MT process
ATP5SL	ATP5S-like	Unknown MT process
NT5DC3	5'-nucleotidase domain containing 3	Unknown MT process
ARL2	ADP-ribosylation factor-like 2	Unknown MT process
KRT5	keratin 5	Unknown MT process
METTL8	methyltransferase like 8	Unknown MT process
OCIAD1	OCIA domain containing 1	Unknown MT process
FAM213A	family with sequence similarity 213, member A	Unknown MT process
DCXR	dicarbonyl L-xylulose reductase	Unknown MT process
IFI27	interferon, alpha-inducible protein 27	Unknown MT process
ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9	Unknown MT process
2300009A05RIK	RIKEN cDNA 2300009A05 gene	Unknown MT process
MMACHC	methylmalonic aciduria cblC type, with homocystinuria	Unknown MT process
ISOC2A	isochorismatase domain containing 2a	Unknown MT process
RPS15A	ribosomal protein S15A	Unknown MT process
SND1	staphylococcal nuclease and tudor domain containing 1	Unknown MT process
FAM185A	family with sequence similarity 185, member A	Unknown MT process
USMG5	upregulated during skeletal muscle growth 5	Unknown MT process
RMDN3	regulator of microtubule dynamics 3	Unknown MT process
SCCPDH	saccharopine dehydrogenase (putative)	Unknown MT process
NME3	NME/NM23 nucleoside diphosphate kinase 3	Unknown MT process
ACYP2	acylphosphatase 2, muscle type	Unknown MT process
PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoribosylaminoimidazole, succinocarboxamide synthetase	Unknown MT process
CCT7	chaperonin containing Tcp1, subunit 7 (eta)	Unknown MT process
P4HB	prolyl 4-hydroxylase, beta polypeptide	Unknown MT process
CRYZ	crystallin, zeta	Unknown MT process
COMTD1	catechol-O-methyltransferase domain containing 1	Unknown MT process
TXNDC12	thioredoxin domain containing 12 (endoplasmic reticulum)	Unknown MT process
DUSP26	dual specificity phosphatase 26 (putative)	Unknown MT process
HDHD3	haloacid dehalogenase-like hydrolase domain containing 3	Unknown MT process
TDRKH	tudor and KH domain containing protein	Unknown MT process
COMT	catechol-O-methyltransferase	Unknown MT process
CRY1	cryptochrome 1 (photolyase-like)	Unknown MT process
CCDC127	coiled-coil domain containing 127	Unknown MT process
PREPL	prolyl endopeptidase-like	Unknown MT process
GNG5	guanine nucleotide binding protein (G protein), gamma 5	Unknown MT process
1110008F13RIK	RIKEN cDNA 1110008F13 gene	Unknown MT process
CEP89	centrosomal protein 89	Unknown MT process
EMC2	ER membrane protein complex subunit 2	Unknown MT process
SPTLC2	serine palmitoyltransferase, long chain base subunit 2	Unknown MT process
E130311K13RIK	RIKEN cDNA E130311K13 gene	Unknown MT process
AGR2	anterior gradient 2	Unknown MT process
NT5C	5',3'-nucleotidase, cytosolic	Unknown MT process
DUS2	dihydrouridine synthase 2	Unknown MT process
FKBP10	FK506 binding protein 10	Unknown MT process
GOLPH3	golgi phosphoprotein 3	Unknown MT process
RAB32	RAB32, member RAS oncogene family	Unknown MT process
NT5DC2	5'-nucleotidase domain containing 2	Unknown MT process
Sep-04	septin 4	Unknown MT process
