ID	GeneSymbol	Description	log2FC	AdjPValue
ENSMUSG00000041992.9	Rapgef5	Rap guanine nucleotide exchange factor (GEF) 5 [Source:MGI Symbol;Acc:MGI:2444365]	-0.23581326	0.249711815
ENSMUSG00000092258.2	Gm20444	predicted gene 20444 [Source:MGI Symbol;Acc:MGI:5141909]	-1.951730965	0.249711815
ENSMUSG00000109199.1	Gm44996	predicted gene 44996 [Source:MGI Symbol;Acc:MGI:5753572]	-0.882079447	0.24975964
ENSMUSG00000022102.13	Dok2	docking protein 2 [Source:MGI Symbol;Acc:MGI:1332623]	-0.74176645	0.249851718
ENSMUSG00000068479.5	Mfap1a	microfibrillar-associated protein 1A [Source:MGI Symbol;Acc:MGI:1914782]	-0.268028706	0.249851718
ENSMUSG00000038375.15	Trp53inp2	transformation related protein 53 inducible nuclear protein 2 [Source:MGI Symbol;Acc:MGI:1915978]	-0.251399977	0.249879649
ENSMUSG00000086341.1	Gm15932	predicted gene 15932 [Source:MGI Symbol;Acc:MGI:3802106]	-1.676854313	0.249899849
ENSMUSG00000043613.8	Mmp3	matrix metallopeptidase 3 [Source:MGI Symbol;Acc:MGI:97010]	0.626491772	0.250090158
ENSMUSG00000107227.1	Gm42559	predicted gene 42559 [Source:MGI Symbol;Acc:MGI:5662696]	-0.451914557	0.250095486
ENSMUSG00000024985.18	Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box [Source:MGI Symbol;Acc:MGI:1202879]	-0.49106586	0.250101951
ENSMUSG00000058325.6	Dock1	dedicator of cytokinesis 1 [Source:MGI Symbol;Acc:MGI:2429765]	0.176977424	0.250101951
ENSMUSG00000096206.1	Gm22317	predicted gene, 22317 [Source:MGI Symbol;Acc:MGI:5452094]	-0.347742646	0.250101951
ENSMUSG00000025353.5	Ormdl2	ORM1-like 2 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914094]	0.4363807	0.250136597
ENSMUSG00000027104.18	Atf2	activating transcription factor 2 [Source:MGI Symbol;Acc:MGI:109349]	-0.206723089	0.250136597
ENSMUSG00000032359.14	Ctsh	cathepsin H [Source:MGI Symbol;Acc:MGI:107285]	-0.256870812	0.250165321
ENSMUSG00000057667.7	Bloc1s3	biogenesis of lysosomal organelles complex-1, subunit 3 [Source:MGI Symbol;Acc:MGI:2678952]	0.474863351	0.250165321
ENSMUSG00000068396.9	Rpl34-ps1	ribosomal protein L34, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3704270]	0.360052547	0.250165321
ENSMUSG00000079547.3	H2-DMb1	histocompatibility 2, class II, locus Mb1 [Source:MGI Symbol;Acc:MGI:95922]	0.588901794	0.250165321
ENSMUSG00000091478.2	Gm10039	predicted pseudogene 10039 [Source:MGI Symbol;Acc:MGI:3704382]	-0.355017539	0.250165321
ENSMUSG00000106867.1	Gm43800	predicted gene 43800 [Source:MGI Symbol;Acc:MGI:5663937]	-0.390400065	0.250464532
ENSMUSG00000000037.16	Scml2	sex comb on midleg-like 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:1340042]	0.89604688	0.250544148
ENSMUSG00000107841.1	Gm44185	predicted gene, 44185 [Source:MGI Symbol;Acc:MGI:5690577]	1.433236756	0.250695677
ENSMUSG00000113623.1	AC122357.2		1.863496818	0.250715402
ENSMUSG00000091476.6	Gm16432	predicted gene 16432 [Source:MGI Symbol;Acc:MGI:3645414]	1.264967949	0.250750272
ENSMUSG00000047649.9	Cd3eap	CD3E antigen, epsilon polypeptide associated protein [Source:MGI Symbol;Acc:MGI:1917583]	0.413988225	0.250760602
ENSMUSG00000061603.8	Akap6	A kinase (PRKA) anchor protein 6 [Source:MGI Symbol;Acc:MGI:3050566]	-0.283323422	0.250760602
ENSMUSG00000106928.1	Gm43860	predicted gene 43860 [Source:MGI Symbol;Acc:MGI:5663997]	-0.71171425	0.250760602
ENSMUSG00000108542.1	Gm44834	predicted gene 44834 [Source:MGI Symbol;Acc:MGI:5753410]	-0.497340687	0.250760602
ENSMUSG00000042485.6	Mustn1	musculoskeletal, embryonic nuclear protein 1 [Source:MGI Symbol;Acc:MGI:1913425]	-0.399531231	0.250896297
ENSMUSG00000113361.1	AC152827.1		-1.048646794	0.250907438
ENSMUSG00000040139.14	9430038I01Rik	RIKEN cDNA 9430038I01 gene [Source:MGI Symbol;Acc:MGI:1924502]	0.450471909	0.250928743
ENSMUSG00000043872.14	Zmym1	zinc finger, MYM domain containing 1 [Source:MGI Symbol;Acc:MGI:1915560]	-0.322341384	0.250939197
ENSMUSG00000026730.12	Pter	phosphotriesterase related [Source:MGI Symbol;Acc:MGI:107372]	0.508639498	0.25116077
ENSMUSG00000041245.13	Wnk3	WNK lysine deficient protein kinase 3 [Source:MGI Symbol;Acc:MGI:2652875]	1.192810185	0.25116077
ENSMUSG00000018986.10	Slfn3	schlafen 3 [Source:MGI Symbol;Acc:MGI:1329005]	-0.531867294	0.251264681
ENSMUSG00000096957.1	E230013L22Rik	RIKEN cDNA E230013L22 gene [Source:MGI Symbol;Acc:MGI:2142601]	0.48895099	0.251264681
ENSMUSG00000003033.15	Ap1m1	adaptor-related protein complex AP-1, mu subunit 1 [Source:MGI Symbol;Acc:MGI:102776]	0.264035472	0.251296572
ENSMUSG00000021428.8	Riok1	RIO kinase 1 (yeast) [Source:MGI Symbol;Acc:MGI:1918590]	0.290075976	0.251296572
ENSMUSG00000044708.5	Kcnj10	potassium inwardly-rectifying channel, subfamily J, member 10 [Source:MGI Symbol;Acc:MGI:1194504]	1.94510307	0.251319304
ENSMUSG00000104195.1	B230377A18Rik	RIKEN cDNA B230377A18 gene [Source:MGI Symbol;Acc:MGI:3704260]	1.846675312	0.251471307
ENSMUSG00000030276.19	Ttll3	tubulin tyrosine ligase-like family, member 3 [Source:MGI Symbol;Acc:MGI:2141418]	0.533398826	0.251497657
ENSMUSG00000072762.9	4930522L14Rik	RIKEN cDNA 4930522L14 gene [Source:MGI Symbol;Acc:MGI:1925270]	0.861752457	0.251577421
ENSMUSG00000026955.13	Sapcd2	suppressor APC domain containing 2 [Source:MGI Symbol;Acc:MGI:1919330]	2.209226576	0.251629838
ENSMUSG00000026698.8	Pigc	phosphatidylinositol glycan anchor biosynthesis, class C [Source:MGI Symbol;Acc:MGI:1914542]	-0.286543909	0.25163162
ENSMUSG00000064294.12	Aox3	aldehyde oxidase 3 [Source:MGI Symbol;Acc:MGI:1918974]	1.25402051	0.251764815
ENSMUSG00000089756.2	Zfp966	zinc finger protein 966 [Source:MGI Symbol;Acc:MGI:3709288]	-2.11323034	0.251764815
ENSMUSG00000035273.14	Hpse	heparanase [Source:MGI Symbol;Acc:MGI:1343124]	1.112108942	0.251809764
ENSMUSG00000005378.17	Wbscr22	Williams Beuren syndrome chromosome region 22 [Source:MGI Symbol;Acc:MGI:1913388]	0.329698499	0.251894134
ENSMUSG00000030224.10	Strap	serine/threonine kinase receptor associated protein [Source:MGI Symbol;Acc:MGI:1329037]	0.286919009	0.252004466
ENSMUSG00000027523.19	Gnas	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus [Source:MGI Symbol;Acc:MGI:95777]	-0.184083086	0.252007535
ENSMUSG00000038611.17	Phrf1	PHD and ring finger domains 1 [Source:MGI Symbol;Acc:MGI:2141847]	-0.222517925	0.252459978
ENSMUSG00000091955.2	Gm9844	predicted pseudogene 9844 [Source:MGI Symbol;Acc:MGI:3704288]	1.341656246	0.252459978
ENSMUSG00000039231.18	Suv39h1	suppressor of variegation 3-9 homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1099440]	0.401299702	0.252546543
ENSMUSG00000031637.13	Lrp2bp	Lrp2 binding protein [Source:MGI Symbol;Acc:MGI:1914870]	-0.66469888	0.252551569
ENSMUSG00000033900.13	Map9	microtubule-associated protein 9 [Source:MGI Symbol;Acc:MGI:2442208]	0.501429303	0.252551569
ENSMUSG00000020447.5	Npc1l1	NPC1-like 1 [Source:MGI Symbol;Acc:MGI:2685089]	-1.881163445	0.252602905
ENSMUSG00000038127.14	Ccdc50	coiled-coil domain containing 50 [Source:MGI Symbol;Acc:MGI:1914751]	0.215003248	0.252948558
ENSMUSG00000063172.13	Hspb11	heat shock protein family B (small), member 11 [Source:MGI Symbol;Acc:MGI:1920188]	0.489370823	0.253418207
ENSMUSG00000080848.3	Gm9385	predicted pseudogene 9385 [Source:MGI Symbol;Acc:MGI:3646182]	0.444116962	0.253418207
ENSMUSG00000107304.1	Gm43775	predicted gene 43775 [Source:MGI Symbol;Acc:MGI:5663912]	1.389792454	0.253418207
ENSMUSG00000032470.16	Mras	muscle and microspikes RAS [Source:MGI Symbol;Acc:MGI:1100856]	0.333209268	0.253489348
ENSMUSG00000030068.4	Gm20696	predicted gene 20696 [Source:MGI Symbol;Acc:MGI:5313143]	-0.493581739	0.253526412
ENSMUSG00000072381.3	Gm10355	predicted gene 10355 [Source:MGI Symbol;Acc:MGI:3641762]	-0.798125088	0.253661979
ENSMUSG00000031060.16	Rbm10	RNA binding motif protein 10 [Source:MGI Symbol;Acc:MGI:2384310]	-0.229045564	0.253738991
ENSMUSG00000034532.8	Fbxo16	F-box protein 16 [Source:MGI Symbol;Acc:MGI:1354706]	0.990586369	0.253761169
ENSMUSG00000028931.11	Kcnab2	potassium voltage-gated channel, shaker-related subfamily, beta member 2 [Source:MGI Symbol;Acc:MGI:109239]	0.758155816	0.253813223
ENSMUSG00000023147.15	Wrb	tryptophan rich basic protein [Source:MGI Symbol;Acc:MGI:2136882]	-0.295622058	0.253875237
ENSMUSG00000054455.4	Vapb	vesicle-associated membrane protein, associated protein B and C [Source:MGI Symbol;Acc:MGI:1928744]	-0.234593333	0.25392764
ENSMUSG00000087739.1	Gm24644	predicted gene, 24644 [Source:MGI Symbol;Acc:MGI:5454421]	-0.90672586	0.253967162
ENSMUSG00000005609.16	Ctr9	CTR9 homolog, Paf1/RNA polymerase II complex component [Source:MGI Symbol;Acc:MGI:109345]	0.235982606	0.254178305
ENSMUSG00000022041.10	Chrna2	cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal) [Source:MGI Symbol;Acc:MGI:87886]	-0.945723052	0.254178305
ENSMUSG00000105861.1	Gm43508	predicted gene 43508 [Source:MGI Symbol;Acc:MGI:5663645]	0.458683622	0.254178305
ENSMUSG00000001864.13	Aif1l	allograft inflammatory factor 1-like [Source:MGI Symbol;Acc:MGI:1919598]	1.225435335	0.254227456
ENSMUSG00000023903.7	Mmp25	matrix metallopeptidase 25 [Source:MGI Symbol;Acc:MGI:2443938]	2.403875934	0.254227456
ENSMUSG00000026289.15	Atg16l1	autophagy related 16-like 1 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1924290]	-0.233640068	0.254227456
ENSMUSG00000025133.9	Ints4	integrator complex subunit 4 [Source:MGI Symbol;Acc:MGI:1917164]	0.345492554	0.254335629
ENSMUSG00000025701.12	Alox5	arachidonate 5-lipoxygenase [Source:MGI Symbol;Acc:MGI:87999]	-0.536552071	0.254375236
ENSMUSG00000112741.1	AC162467.4		3.640722064	0.254394423
ENSMUSG00000076609.2	Igkc	immunoglobulin kappa constant [Source:MGI Symbol;Acc:MGI:96495]	1.143974616	0.254764359
ENSMUSG00000073867.2	AA474408	expressed sequence AA474408 [Source:MGI Symbol;Acc:MGI:3034216]	-1.198363499	0.25491276
ENSMUSG00000097908.7	4933404O12Rik	RIKEN cDNA 4933404O12 gene [Source:MGI Symbol;Acc:MGI:1914002]	1.027107732	0.25491276
ENSMUSG00000040345.10	Arhgap9	Rho GTPase activating protein 9 [Source:MGI Symbol;Acc:MGI:2143764]	0.463013628	0.255032035
ENSMUSG00000113917.1	AC160340.2		-0.397639351	0.255032035
ENSMUSG00000039901.9	9130011E15Rik	RIKEN cDNA 9130011E15 gene [Source:MGI Symbol;Acc:MGI:1918867]	-0.261072044	0.255123752
ENSMUSG00000024451.8	Arap3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:MGI Symbol;Acc:MGI:2147274]	-0.242158262	0.255231999
ENSMUSG00000041361.13	Myzap	myocardial zonula adherens protein [Source:MGI Symbol;Acc:MGI:2142908]	-0.559755572	0.255434117
ENSMUSG00000101225.1	1700008J07Rik	RIKEN cDNA 1700008J07 gene [Source:MGI Symbol;Acc:MGI:1916610]	-0.706079202	0.255434301
ENSMUSG00000032673.5	Prorsd1	prolyl-tRNA synthetase domain containing 1 [Source:MGI Symbol;Acc:MGI:1915189]	-0.333501802	0.255699545
ENSMUSG00000033350.7	Chst2	carbohydrate sulfotransferase 2 [Source:MGI Symbol;Acc:MGI:1891160]	0.622008338	0.255901112
ENSMUSG00000005907.14	Pex1	peroxisomal biogenesis factor 1 [Source:MGI Symbol;Acc:MGI:1918632]	-0.262129652	0.255914207
ENSMUSG00000099375.1	Gm28187	predicted gene 28187 [Source:MGI Symbol;Acc:MGI:5578893]	-1.236521934	0.255949672
ENSMUSG00000104524.1	Gm37333	predicted gene, 37333 [Source:MGI Symbol;Acc:MGI:5610561]	-0.484879882	0.256206987
ENSMUSG00000038533.15	Cbfa2t2	core-binding factor, runt domain, alpha subunit 2, translocated to, 2 (human) [Source:MGI Symbol;Acc:MGI:1333833]	-0.235824776	0.25629057
ENSMUSG00000085112.1	A530072M11Rik	RIKEN cDNA gene A530072M11 [Source:MGI Symbol;Acc:MGI:4440477]	1.205439441	0.256340839
ENSMUSG00000030138.8	Bms1	BMS1, ribosome biogenesis factor [Source:MGI Symbol;Acc:MGI:2446132]	0.219913168	0.256607129
ENSMUSG00000047719.2	Ubiad1	UbiA prenyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:1918957]	0.394982894	0.256607129
ENSMUSG00000103783.1	Gm37522	predicted gene, 37522 [Source:MGI Symbol;Acc:MGI:5610750]	-0.522247212	0.256665686
ENSMUSG00000113892.1	CT025611.2		-1.276872219	0.256674127
ENSMUSG00000021840.16	Mapk1ip1l	mitogen-activated protein kinase 1 interacting protein 1-like [Source:MGI Symbol;Acc:MGI:2444022]	0.223120319	0.256751367
ENSMUSG00000044313.13	Mab21l3	mab-21-like 3 (C. elegans) [Source:MGI Symbol;Acc:MGI:2446273]	1.906363659	0.25678862
ENSMUSG00000030788.16	Rnf141	ring finger protein 141 [Source:MGI Symbol;Acc:MGI:1914400]	0.249645812	0.256832788
ENSMUSG00000060675.13	Pla2g16	phospholipase A2, group XVI [Source:MGI Symbol;Acc:MGI:2179715]	-0.257808746	0.256837488
ENSMUSG00000072589.3	Gm10371	predicted gene 10371 [Source:MGI Symbol;Acc:MGI:3642716]	2.396960495	0.256991859
ENSMUSG00000028167.15	Bdh2	3-hydroxybutyrate dehydrogenase, type 2 [Source:MGI Symbol;Acc:MGI:1917022]	1.233181128	0.257012819
ENSMUSG00000028271.9	Gtf2b	general transcription factor IIB [Source:MGI Symbol;Acc:MGI:2385191]	0.383985349	0.257073617
ENSMUSG00000038369.14	Ncoa6	nuclear receptor coactivator 6 [Source:MGI Symbol;Acc:MGI:1929915]	-0.26010419	0.257105247
ENSMUSG00000002996.17	Hbp1	high mobility group box transcription factor 1 [Source:MGI Symbol;Acc:MGI:894659]	-0.210794379	0.257170727
ENSMUSG00000090236.2	Car15	carbonic anhydrase 15 [Source:MGI Symbol;Acc:MGI:1931324]	-1.223214242	0.257518221
ENSMUSG00000032010.15	Usp2	ubiquitin specific peptidase 2 [Source:MGI Symbol;Acc:MGI:1858178]	-0.25894283	0.257617057
ENSMUSG00000044968.16	Napepld	N-acyl phosphatidylethanolamine phospholipase D [Source:MGI Symbol;Acc:MGI:2140885]	0.499556724	0.257617057
ENSMUSG00000049892.7	Rasd1	RAS, dexamethasone-induced 1 [Source:MGI Symbol;Acc:MGI:1270848]	1.005285129	0.257845546
ENSMUSG00000052384.13	Nrros	negative regulator of reactive oxygen species [Source:MGI Symbol;Acc:MGI:2445095]	0.297264627	0.257862093
ENSMUSG00000014074.17	Rnf168	ring finger protein 168 [Source:MGI Symbol;Acc:MGI:1917488]	-0.241758528	0.257876676
ENSMUSG00000025217.14	Btrc	beta-transducin repeat containing protein [Source:MGI Symbol;Acc:MGI:1338871]	-0.269030102	0.257876676
ENSMUSG00000022181.15	C6	complement component 6 [Source:MGI Symbol;Acc:MGI:88233]	2.009614704	0.257979962
ENSMUSG00000037331.15	Larp1	La ribonucleoprotein domain family, member 1 [Source:MGI Symbol;Acc:MGI:1890165]	0.240068663	0.258211703
ENSMUSG00000027642.15	Rpn2	ribophorin II [Source:MGI Symbol;Acc:MGI:98085]	0.242777314	0.258386685
ENSMUSG00000000739.14	Sult5a1	sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]	0.717389183	0.258540277
ENSMUSG00000045733.7	Sprn	shadow of prion protein [Source:MGI Symbol;Acc:MGI:3582583]	0.961263003	0.258557408
ENSMUSG00000057286.6	St6galnac2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 [Source:MGI Symbol;Acc:MGI:107553]	-0.414851198	0.258865828
ENSMUSG00000066319.6	Rtp3	receptor transporter protein 3 [Source:MGI Symbol;Acc:MGI:2446841]	-0.866026044	0.259006361
ENSMUSG00000082925.1	Gm13135	predicted gene 13135 [Source:MGI Symbol;Acc:MGI:3650404]	-0.847443824	0.259115584
ENSMUSG00000039826.13	Trub2	TruB pseudouridine (psi) synthase family member 2 [Source:MGI Symbol;Acc:MGI:2442186]	0.253223371	0.259177991
ENSMUSG00000068015.6	Lrch1	leucine-rich repeats and calponin homology (CH) domain containing 1 [Source:MGI Symbol;Acc:MGI:2443390]	-0.24065875	0.259188714
ENSMUSG00000037962.7	Rflna	refilin A [Source:MGI Symbol;Acc:MGI:1920371]	2.072836664	0.259243363
ENSMUSG00000031239.5	Itm2a	integral membrane protein 2A [Source:MGI Symbol;Acc:MGI:107706]	-0.419810248	0.259299429
ENSMUSG00000054181.11	A930012O16Rik	RIKEN cDNA A930012O16 gene [Source:MGI Symbol;Acc:MGI:2442255]	1.176279569	0.259299429
ENSMUSG00000026090.16	2010300C02Rik	RIKEN cDNA 2010300C02 gene [Source:MGI Symbol;Acc:MGI:1919347]	1.087121562	0.259601365
ENSMUSG00000037197.11	Rbm17	RNA binding motif protein 17 [Source:MGI Symbol;Acc:MGI:1924188]	0.239170117	0.259646644
ENSMUSG00000031963.8	Bmper	BMP-binding endothelial regulator [Source:MGI Symbol;Acc:MGI:1920480]	-0.609667816	0.259697437
ENSMUSG00000043243.15	Fam129c	family with sequence similarity 129, member C [Source:MGI Symbol;Acc:MGI:3686743]	-0.703748228	0.259697437
ENSMUSG00000049164.6	Zfp518a	zinc finger protein 518A [Source:MGI Symbol;Acc:MGI:1919922]	-0.284269566	0.259697437
ENSMUSG00000031168.14	Ebp	phenylalkylamine Ca2+ antagonist (emopamil) binding protein [Source:MGI Symbol;Acc:MGI:107822]	0.293799068	0.259754437
ENSMUSG00000055835.10	Zfp1	zinc finger protein 1 [Source:MGI Symbol;Acc:MGI:99154]	-0.383202741	0.259997076
ENSMUSG00000102980.1	Gm38321	predicted gene, 38321 [Source:MGI Symbol;Acc:MGI:5611549]	-1.272153562	0.259997076
ENSMUSG00000057130.11	Txnl4a	thioredoxin-like 4A [Source:MGI Symbol;Acc:MGI:1351613]	-0.297629773	0.26003832
ENSMUSG00000096544.2	Gm4617	predicted pseudogene 4617 [Source:MGI Symbol;Acc:MGI:3704225]	0.863448377	0.260276566
ENSMUSG00000020758.15	Itgb4	integrin beta 4 [Source:MGI Symbol;Acc:MGI:96613]	0.72189416	0.260364569
ENSMUSG00000022973.17	Synj1	synaptojanin 1 [Source:MGI Symbol;Acc:MGI:1354961]	0.219435421	0.260597219
ENSMUSG00000060470.7	Adgrg3	adhesion G protein-coupled receptor G3 [Source:MGI Symbol;Acc:MGI:1859670]	0.499751367	0.260677554
ENSMUSG00000030880.14	Polr3e	polymerase (RNA) III (DNA directed) polypeptide E [Source:MGI Symbol;Acc:MGI:1349452]	0.272459881	0.26068642
ENSMUSG00000089999.1	Gm6485	predicted gene 6485 [Source:MGI Symbol;Acc:MGI:3644007]	0.969591591	0.26068642
ENSMUSG00000098905.1	Zfp953	zinc finger protein 953 [Source:MGI Symbol;Acc:MGI:3612873]	0.474767588	0.26068642
ENSMUSG00000031154.15	Otud5	OTU domain containing 5 [Source:MGI Symbol;Acc:MGI:1859615]	0.241905373	0.260769256
ENSMUSG00000044496.6	2510039O18Rik	RIKEN cDNA 2510039O18 gene [Source:MGI Symbol;Acc:MGI:1924284]	0.242846377	0.260769256
ENSMUSG00000021794.15	Glud1	glutamate dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:95753]	-0.237227627	0.260838698
ENSMUSG00000030127.15	Cops7a	COP9 signalosome subunit 7A [Source:MGI Symbol;Acc:MGI:1349400]	0.214786053	0.260838698
ENSMUSG00000062590.13	Armc9	armadillo repeat containing 9 [Source:MGI Symbol;Acc:MGI:1926045]	0.378861192	0.260838698
ENSMUSG00000027285.13	Haus2	HAUS augmin-like complex, subunit 2 [Source:MGI Symbol;Acc:MGI:1913546]	0.251478015	0.260851803
ENSMUSG00000056978.8	Hamp2	hepcidin antimicrobial peptide 2 [Source:MGI Symbol;Acc:MGI:2153530]	3.1770276	0.261284744
ENSMUSG00000037014.4	Sstr4	somatostatin receptor 4 [Source:MGI Symbol;Acc:MGI:105372]	-1.169035361	0.261553761
ENSMUSG00000068240.5	Gm11808	predicted gene 11808 [Source:MGI Symbol;Acc:MGI:3649356]	0.250325912	0.261559197
ENSMUSG00000084146.1	Gm12104	predicted gene 12104 [Source:MGI Symbol;Acc:MGI:3650164]	1.610161569	0.261589542
ENSMUSG00000054640.14	Slc8a1	solute carrier family 8 (sodium/calcium exchanger), member 1 [Source:MGI Symbol;Acc:MGI:107956]	0.373696987	0.261590697
ENSMUSG00000020271.17	Fbxw11	F-box and WD-40 domain protein 11 [Source:MGI Symbol;Acc:MGI:2144023]	0.270943775	0.261783451
ENSMUSG00000027160.16	Ccdc34	coiled-coil domain containing 34 [Source:MGI Symbol;Acc:MGI:1915451]	0.496436436	0.261805283
ENSMUSG00000008892.12	Vdac3	voltage-dependent anion channel 3 [Source:MGI Symbol;Acc:MGI:106922]	0.228976199	0.261868056
ENSMUSG00000018841.17	Rad51d	RAD51 paralog D [Source:MGI Symbol;Acc:MGI:1261809]	0.337879402	0.261980214
ENSMUSG00000032338.9	Hcn4	hyperpolarization-activated, cyclic nucleotide-gated K+ 4 [Source:MGI Symbol;Acc:MGI:1298209]	-0.700227944	0.26226151
ENSMUSG00000109101.1	Gm45132	predicted gene 45132 [Source:MGI Symbol;Acc:MGI:5753708]	-0.910664048	0.262486673
ENSMUSG00000044857.7	Lemd2	LEM domain containing 2 [Source:MGI Symbol;Acc:MGI:2385045]	0.22244602	0.262598501
ENSMUSG00000097705.1	Gm26740	predicted gene, 26740 [Source:MGI Symbol;Acc:MGI:5477234]	0.88115805	0.262632394
ENSMUSG00000091387.2	Gcnt4	glucosaminyl (N-acetyl) transferase 4, core 2 (beta-1,6-N-acetylglucosaminyltransferase) [Source:MGI Symbol;Acc:MGI:2684919]	1.930673856	0.262641238
ENSMUSG00000023393.15	Slc17a9	solute carrier family 17, member 9 [Source:MGI Symbol;Acc:MGI:1919107]	0.933262724	0.26293322
ENSMUSG00000074527.11	Gm14296	predicted gene 14296 [Source:MGI Symbol;Acc:MGI:3708667]	-0.788285033	0.263046205
ENSMUSG00000026875.14	Traf1	TNF receptor-associated factor 1 [Source:MGI Symbol;Acc:MGI:101836]	0.694198174	0.26330288
ENSMUSG00000048027.7	Rgmb	repulsive guidance molecule family member B [Source:MGI Symbol;Acc:MGI:1916049]	-0.354933613	0.26330288
ENSMUSG00000020105.9	Lrig3	leucine-rich repeats and immunoglobulin-like domains 3 [Source:MGI Symbol;Acc:MGI:2443955]	0.520939824	0.263369111
ENSMUSG00000084998.1	Gm16279	predicted gene 16279 [Source:MGI Symbol;Acc:MGI:3826576]	-0.863947639	0.263369111
ENSMUSG00000030329.11	Pianp	PILR alpha associated neural protein [Source:MGI Symbol;Acc:MGI:2441908]	1.56329907	0.263478503
ENSMUSG00000109021.1	Gm44812	predicted gene 44812 [Source:MGI Symbol;Acc:MGI:5753388]	-1.622553653	0.263478503
ENSMUSG00000074398.5	Gm15441	predicted gene 15441 [Source:MGI Symbol;Acc:MGI:3641753]	-1.132461603	0.26354101
ENSMUSG00000043313.6	Pcdhb19	protocadherin beta 19 [Source:MGI Symbol;Acc:MGI:2136757]	-0.405981459	0.26378487
ENSMUSG00000022064.9	Pibf1	progesterone immunomodulatory binding factor 1 [Source:MGI Symbol;Acc:MGI:1261910]	-0.282065528	0.263883712
ENSMUSG00000088942.1	Gm23260	predicted gene, 23260 [Source:MGI Symbol;Acc:MGI:5453037]	-1.704793022	0.263991444
ENSMUSG00000093803.3	Ppp2r3d	protein phosphatase 2 (formerly 2A), regulatory subunit B'', delta [Source:MGI Symbol;Acc:MGI:1335093]	0.261504766	0.264019536
ENSMUSG00000001227.11	Sema6b	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B [Source:MGI Symbol;Acc:MGI:1202889]	0.340566088	0.264130888
ENSMUSG00000113346.1	AC154266.1		1.232949344	0.264273662
ENSMUSG00000028191.11	Bcl10	B cell leukemia/lymphoma 10 [Source:MGI Symbol;Acc:MGI:1337994]	0.243640309	0.264544733
ENSMUSG00000018433.14	Nol11	nucleolar protein 11 [Source:MGI Symbol;Acc:MGI:1916229]	0.252787801	0.264967292
ENSMUSG00000018500.2	Adora2b	adenosine A2b receptor [Source:MGI Symbol;Acc:MGI:99403]	-1.063651936	0.264967292
ENSMUSG00000039529.8	Atp8b1	ATPase, class I, type 8B, member 1 [Source:MGI Symbol;Acc:MGI:1859665]	0.281391883	0.264967292
ENSMUSG00000054920.12	Klhl5	kelch-like 5 [Source:MGI Symbol;Acc:MGI:1919028]	0.249844996	0.264967292
ENSMUSG00000016262.14	Sertad4	SERTA domain containing 4 [Source:MGI Symbol;Acc:MGI:2443496]	0.69541427	0.26497593
ENSMUSG00000020263.14	Appl2	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2 [Source:MGI Symbol;Acc:MGI:2384914]	-0.233170521	0.26497593
ENSMUSG00000030374.15	Strn4	striatin, calmodulin binding protein 4 [Source:MGI Symbol;Acc:MGI:2142346]	0.252522779	0.265065924
ENSMUSG00000102642.1	A130048G24Rik	RIKEN cDNA A130048G24 gene [Source:MGI Symbol;Acc:MGI:2443520]	-0.477085521	0.265251522
ENSMUSG00000104654.1	Gm43814	predicted gene 43814 [Source:MGI Symbol;Acc:MGI:5663951]	-1.407624465	0.265411302
ENSMUSG00000028871.7	Rspo1	R-spondin 1 [Source:MGI Symbol;Acc:MGI:2183426]	1.575060068	0.265436814
ENSMUSG00000053038.8	Gm6180	predicted pseudogene 6180 [Source:MGI Symbol;Acc:MGI:3643972]	0.914307934	0.265574754
ENSMUSG00000062991.7	Nrg1	neuregulin 1 [Source:MGI Symbol;Acc:MGI:96083]	0.723282062	0.265695491
ENSMUSG00000068205.14	Macrod2	MACRO domain containing 2 [Source:MGI Symbol;Acc:MGI:1920149]	-0.457037051	0.265695491
ENSMUSG00000004880.11	Lbr	lamin B receptor [Source:MGI Symbol;Acc:MGI:2138281]	-0.270055032	0.265843757
ENSMUSG00000074482.5	Gm16589	predicted gene 16589 [Source:MGI Symbol;Acc:MGI:4418561]	0.667428028	0.266034766
ENSMUSG00000022744.12	Cldnd1	claudin domain containing 1 [Source:MGI Symbol;Acc:MGI:2447860]	0.341473468	0.266281793
ENSMUSG00000041235.12	Chd7	chromodomain helicase DNA binding protein 7 [Source:MGI Symbol;Acc:MGI:2444748]	-0.288846266	0.266281793
